date,equity
2025-01-01,149900.279873
2025-01-02,150854.358409
2025-01-03,150766.628409
2025-01-06,151466.438409
2025-01-07,152951.76840899998
2025-01-08,152208.928409
2025-01-09,153125.748409
2025-01-10,152967.418409
2025-01-13,153428.998409
2025-01-14,152459.668409
2025-01-15,150947.218409
2025-01-16,150467.29840899998
2025-01-17,149767.288409
2025-01-20,151077.628409
2025-01-21,151990.448409
2025-01-22,151521.868409
2025-01-23,152822.878409
2025-01-24,152392.228409
2025-01-27,152866.868409
2025-01-28,153702.928409
2025-01-29,154019.048409
2025-01-30,154931.2447023
2025-01-31,154987.63470229998
2025-02-03,155467.9247023
2025-02-04,155139.3947023
2025-02-05,156889.10470229998
2025-02-06,156474.9247023
2025-02-07,156722.90470229997
2025-02-10,157742.16470229998
2025-02-11,157259.5647023
2025-02-12,156864.60658169998
2025-02-13,156401.34480569998
2025-02-14,156401.34480569998
2025-02-17,156401.34480569998
2025-02-18,156401.34480569998
2025-02-19,156401.34480569998
2025-02-20,156401.34480569998
2025-02-21,156401.34480569998
2025-02-24,156401.34480569998
2025-02-25,156341.82830969998
2025-02-26,157166.34830969997
2025-02-27,158160.3083097
2025-02-28,159030.70830969998
2025-03-03,159309.8083097
2025-03-04,160133.66830969998
2025-03-05,160446.0683097
2025-03-06,161491.66830969998
2025-03-07,162330.1483097
2025-03-10,161718.66830969998
2025-03-11,162253.2483097
2025-03-12,162598.32830969998
2025-03-13,162929.46830969997
2025-03-14,163352.44830969998
2025-03-17,163397.22830969997
2025-03-18,163799.3083097
2025-03-19,162559.8683097
2025-03-20,163584.26830969998
2025-03-21,162724.0683097
2025-03-24,161947.6483097
2025-03-25,161021.0102207
2025-03-26,161021.0102207
2025-03-27,161021.0102207
2025-03-28,161021.0102207
2025-03-31,161021.0102207
2025-04-01,161021.0102207
2025-04-02,161021.0102207
2025-04-03,161021.0102207
2025-04-04,161021.0102207
2025-04-07,161021.0102207
2025-04-08,161021.0102207
2025-04-09,161021.0102207
2025-04-10,161021.0102207
2025-04-11,161021.0102207
2025-04-14,161021.0102207
2025-04-15,160825.12352969998
2025-04-16,160718.76352969997
2025-04-17,163823.03352969998
2025-04-18,162039.95352969997
2025-04-21,166169.61352969997
2025-04-22,172696.7235297
2025-04-23,177550.08352969997
2025-04-24,181903.85352969996
2025-04-25,181413.06352969998
2025-04-28,180713.36352969997
2025-04-29,179158.14352969997
2025-04-30,183082.7935297
2025-05-01,187155.1935297
2025-05-02,192719.74352969998
2025-05-05,187136.36352969997
2025-05-06,189112.42352969997
2025-05-07,190642.93352969998
2025-05-08,191939.67352969997
2025-05-09,195618.1335297
2025-05-12,196875.12352969998
2025-05-13,199113.60352969996
2025-05-14,201887.31352969998
2025-05-15,203177.33352969997
2025-05-16,206319.25352969996
2025-05-19,205943.46352969998
2025-05-20,208084.8835297
2025-05-21,210723.3535297
2025-05-22,216119.85352969996
2025-05-23,218392.03352969995
2025-05-26,213151.79352969996
2025-05-27,211867.57754169998
2025-05-28,211867.57754169998
2025-05-29,211867.57754169998
2025-05-30,211867.57754169998
2025-06-02,211867.57754169998
2025-06-03,211867.57754169998
2025-06-04,211867.57754169998
2025-06-05,211867.57754169998
2025-06-06,211867.57754169998
