date,equity
2025-01-01,149809.56079
2025-01-02,152641.65079
2025-01-03,154363.62079000002
2025-01-06,154732.24079
2025-01-07,153510.37079
2025-01-08,153976.08079
2025-01-09,152631.05079
2025-01-10,151268.31250550004
2025-01-13,151558.5325055
2025-01-14,151208.0725055
2025-01-15,150134.0725055
2025-01-16,149243.1225055
2025-01-17,148483.1425055
2025-01-20,149488.98250550003
2025-01-21,150486.0225055
2025-01-22,150814.8425055
2025-01-23,151942.85250550002
2025-01-24,151434.5325055
2025-01-27,151758.42250550003
2025-01-28,151725.66250550002
2025-01-29,151784.92250550003
2025-01-30,151888.9793008
2025-01-31,152135.8793008
2025-02-03,151404.29930080002
2025-02-04,151374.2593008
2025-02-05,151352.43788886
2025-02-06,151805.58788886003
2025-02-07,153747.63788886002
2025-02-10,155344.11788886
2025-02-11,156115.92788886
2025-02-12,155193.95317556
2025-02-13,155416.50317555998
2025-02-14,154531.35317556
2025-02-17,156068.42317556
2025-02-18,156271.06317555998
2025-02-19,156124.72317556
2025-02-20,155394.94317555998
2025-02-21,155931.65977356
2025-02-24,156718.50977355998
2025-02-25,155997.65977356
2025-02-26,153604.35257030997
2025-02-27,154571.71257031
2025-02-28,155677.94257031
2025-03-03,156942.57257030997
2025-03-04,157160.68257031
2025-03-05,157007.03633424998
2025-03-06,154970.90633424997
2025-03-07,155254.71633424997
2025-03-10,156117.14633425
2025-03-11,155953.09633425
2025-03-12,154164.24633424997
2025-03-13,152142.69632654998
2025-03-14,151579.47632654995
2025-03-17,151493.41632654998
2025-03-18,153586.55632654997
2025-03-19,154573.41632654998
2025-03-20,156454.41632654998
2025-03-21,155665.01632655
2025-03-24,155532.07632654998
2025-03-25,156509.81632654998
2025-03-26,157228.54632654996
2025-03-27,157939.70632655
2025-03-28,157593.72632654995
2025-03-31,156538.23132979998
2025-04-01,156381.79132979998
2025-04-02,158016.9513298
2025-04-03,157623.3113298
2025-04-04,157020.4813298
2025-04-07,157305.8213298
2025-04-08,156130.96084675
2025-04-09,153748.02084675
2025-04-10,153173.58084675
2025-04-11,152521.73631975
2025-04-14,152273.94631975
2025-04-15,153104.48631975002
2025-04-16,152983.81741274998
2025-04-17,152527.38741275
2025-04-18,153015.18741274998
2025-04-21,153193.30741275
2025-04-22,153066.43741274998
2025-04-23,151513.79741275002
2025-04-24,152713.34741275
2025-04-25,154663.16741275
2025-04-28,155884.46741275
2025-04-29,157023.81741274998
2025-04-30,156141.08741275
2025-05-01,155378.861851
2025-05-02,156936.559992
2025-05-05,157408.27999200003
2025-05-06,155908.66999199998
2025-05-07,155412.27999200003
2025-05-08,154883.69365595002
2025-05-09,154740.59992395
2025-05-12,154889.24929195002
2025-05-13,156924.38929195
2025-05-14,157813.54929195
2025-05-15,158463.36929195002
2025-05-16,159209.04929195
2025-05-19,160685.12929195
2025-05-20,160440.58929195
2025-05-21,160106.98929195
2025-05-22,161524.24929195
2025-05-23,162459.56929195
2025-05-26,163716.16929195
2025-05-27,162666.52929195
2025-05-28,163445.40929195
2025-05-29,164411.56929195003
2025-05-30,163996.28929195
2025-06-02,166957.16929195
2025-06-03,167024.72929195
2025-06-04,166941.80929195002
2025-06-05,168078.14929195002
2025-06-06,167793.18929195
2025-06-09,168803.40929195
2025-06-10,168067.28929195
2025-06-11,166492.22688335
2025-06-12,164994.72688335006
2025-06-13,164870.43688335002
2025-06-16,164596.84688335
2025-06-17,162653.79688335
2025-06-18,162488.14688335004
2025-06-19,162350.74688335002
2025-06-20,163787.31545935
2025-06-23,166883.89545935002
2025-06-24,169606.24438435002
2025-06-25,169965.83438435005
2025-06-26,169220.54438435
2025-06-27,169021.57438435004
2025-06-30,172309.35438435007
2025-07-01,174496.39438435005
2025-07-02,176061.11438435002
2025-07-03,179311.77438435005
2025-07-04,177838.00438435003
2025-07-07,178919.016023
2025-07-08,181924.69602300003
2025-07-09,182964.316023
2025-07-10,181086.10602300003
2025-07-11,181746.53602300002
2025-07-14,181808.116023
2025-07-15,183332.726023
2025-07-16,184899.81602300002
2025-07-17,184058.72602300002
2025-07-18,185359.18602300002
2025-07-21,187916.83602300004
2025-07-22,188944.106023
2025-07-23,189475.37588500004
2025-07-24,191506.90588500004
2025-07-25,188090.42588500003
2025-07-28,189884.91588500005
2025-07-29,188725.30588500004
2025-07-30,188358.68900900005
2025-07-31,185536.07523399
2025-08-01,186125.30523399005
2025-08-04,182904.36523399
2025-08-05,181470.0610912
2025-08-06,180551.2083302
2025-08-07,180083.0383302
2025-08-08,182063.26833020002
2025-08-11,183122.5883302
2025-08-12,184556.2083302
2025-08-13,185571.6283302
2025-08-14,186624.50833019998
2025-08-15,187278.8983302
2025-08-18,185848.7135402
2025-08-19,186205.0335402
2025-08-20,186542.6835402
2025-08-21,186225.7435402
2025-08-22,186475.0635402
2025-08-25,186250.9435402
2025-08-26,187495.3835402
2025-08-27,188055.0635402
2025-08-28,189474.10354019998
2025-08-29,189648.6335402
2025-09-01,188954.2135402
2025-09-02,190271.70354020002
2025-09-03,189937.0735402
2025-09-04,190848.6535402
2025-09-05,191230.2235402
2025-09-08,193047.13354019998
2025-09-09,194159.3281392
2025-09-10,195215.5222222
2025-09-11,195175.2022222
2025-09-12,197101.6922222
2025-09-15,198508.9922222
2025-09-16,199707.7022222
2025-09-17,199872.11085420003
2025-09-18,200598.5608532
2025-09-19,201522.88085319998
2025-09-22,201581.2808532
2025-09-23,202354.92085320002
2025-09-24,200367.93085320003
2025-09-25,202024.7108532
2025-09-26,203228.6608532
2025-09-29,205315.24085320003
2025-09-30,205840.3308532
2025-10-01,205735.7608532
2025-10-02,206610.58085320002
2025-10-03,207711.6808532
2025-10-06,207162.32085319998
2025-10-07,206603.5908532
2025-10-08,206770.8508532
2025-10-09,208218.5808532
2025-10-10,209881.86085320002
2025-10-13,209449.79085320001
2025-10-14,208298.27551990002
2025-10-15,208116.3455199
2025-10-16,206844.1655199
2025-10-17,205674.10051495
2025-10-20,204615.33051494998
2025-10-21,204014.64051495
2025-10-22,203660.68051494999
2025-10-23,204481.96051495
2025-10-24,204671.85051495
2025-10-27,203044.58051495
2025-10-28,202743.86729425
2025-10-29,202728.56729425
2025-10-30,201618.92867959
2025-10-31,202286.14867959
2025-11-03,204872.14867959003
2025-11-04,206914.04867959
2025-11-05,207338.92867959
2025-11-06,207637.11867959
2025-11-07,209130.24867959
2025-11-10,210296.55867959
2025-11-11,208697.04867959
2025-11-12,206348.17867959
2025-11-13,202621.05877194
2025-11-14,200060.39946977
2025-11-17,198953.10946977
2025-11-18,198453.38946977
2025-11-19,198930.12946977
2025-11-20,199544.31946977
