stock_code,trades,win_rate_pct,avg_return_pct,total_pnl
600519,3,100.0,5.68,5849.8
000858,1,100.0,15.26,10580.48
002304,3,100.0,5.59,10447.72
000596,3,66.67,5.58,14315.17
603369,2,0.0,-4.79,-12507.16
603198,4,50.0,5.88,9546.34
601318,4,25.0,-1.62,-3477.34
601601,2,50.0,3.45,5849.28
601628,1,100.0,17.08,3985.77
600036,4,50.0,1.81,1840.69
601166,4,50.0,2.8,14767.98
000001,4,50.0,1.81,1840.69
601288,1,0.0,-0.14,-36.78
601398,3,66.67,2.75,4028.01
601939,3,66.67,9.22,39294.97
601328,4,100.0,8.14,9047.01
600016,4,100.0,8.14,9047.01
002142,3,33.33,0.31,-682.1
600030,5,60.0,2.45,4006.02
601688,4,50.0,-2.21,-4664.99
000776,2,50.0,-2.45,-1483.2
600837,4,25.0,-0.5,-672.31
601995,1,100.0,0.91,1136.41
000166,3,66.67,2.19,2239.73
601211,5,40.0,-2.78,-5211.68
601881,3,0.0,-3.19,-7795.69
601878,2,50.0,-2.73,-1356.51
002594,4,75.0,2.77,2447.39
600900,3,33.33,-1.03,-5932.58
601012,2,50.0,0.73,582.52
601877,2,0.0,-3.8,-3169.41
002460,3,66.67,5.47,11037.19
000100,3,66.67,9.66,9328.26
601238,2,0.0,-7.33,-3776.11
600104,4,75.0,4.95,7458.86
002475,2,100.0,6.19,15297.99
603799,4,50.0,1.36,7002.38
002074,3,33.33,-3.0,-6784.88
600438,3,33.33,0.17,32.39
601615,2,0.0,-7.33,-4973.15
002415,4,75.0,0.2,412.81
000725,2,50.0,2.01,2636.72
600703,2,50.0,7.26,3365.56
000063,2,50.0,7.26,3365.56
601138,4,50.0,-2.32,-3790.05
000977,4,75.0,2.63,8399.03
002236,2,100.0,4.38,2887.85
002049,3,33.33,-2.28,-2494.41
002230,3,66.67,1.79,5902.3
600588,3,66.67,-0.08,-32.21
600570,4,50.0,0.24,323.87
600271,1,0.0,-7.33,-3037.21
600487,1,100.0,4.6,2299.84
600941,2,50.0,6.27,6190.58
601728,1,100.0,23.31,7114.59
600050,3,33.33,-4.35,-13873.32
002352,2,0.0,-3.85,-5918.1
600276,6,50.0,2.62,3380.75
600085,3,33.33,0.13,225.79
000963,5,100.0,7.01,10253.43
002007,2,0.0,-2.48,-1965.63
600436,5,40.0,-0.58,-1439.24
603259,2,100.0,14.8,12148.44
600867,1,0.0,-1.41,-677.85
600332,2,50.0,6.77,4510.18
002317,1,100.0,1.3,456.32
600079,1,100.0,9.9,2251.79
601668,5,80.0,3.42,12180.02
600031,1,100.0,8.42,4500.03
601088,1,0.0,-7.33,-2057.52
600019,1,0.0,-7.33,-2057.52
601800,5,40.0,1.99,12293.04
601390,3,100.0,15.37,18230.19
601186,5,80.0,0.94,1329.39
601766,5,40.0,4.11,29096.19
002008,3,33.33,6.18,3753.82
000157,2,100.0,13.78,10515.62
600010,5,80.0,9.44,30046.86
000002,5,80.0,4.58,7585.54
601006,5,40.0,-0.47,-2111.05
601888,7,85.71,5.53,31036.04
600009,3,66.67,11.4,19675.38
600887,2,50.0,-0.21,-624.8
000895,2,50.0,-0.21,-624.8
603288,3,0.0,-6.83,-7662.02
600690,2,50.0,5.97,7763.81
000651,1,100.0,18.09,19733.68
600600,1,0.0,-7.33,-2011.59
603605,4,25.0,1.67,4143.04
002216,1,0.0,-1.47,-338.31
002714,2,0.0,-4.81,-4129.73
600115,2,50.0,13.39,17993.49
600029,5,40.0,-0.22,-1041.86
000728,4,50.0,5.21,7677.73
601985,2,50.0,6.22,3894.65
600025,3,100.0,12.27,12973.17
600011,3,33.33,2.83,10273.12
600795,2,0.0,-7.4,-3255.17
601669,2,100.0,7.22,3182.13
601899,1,100.0,4.36,4515.73
600547,4,50.0,0.05,115.21
600362,4,50.0,0.61,2482.11
000630,5,80.0,2.64,3818.83
601600,3,33.33,-3.15,-5888.19
600188,1,0.0,-1.35,-886.8
601225,1,0.0,-1.35,-886.8
601958,4,100.0,11.37,13330.49
002555,1,100.0,29.74,18344.66
002624,2,0.0,-4.72,-3149.02
600637,1,0.0,-7.33,-2777.57
601698,2,0.0,-7.33,-5686.5
