stock_code,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,is_win
600436,2025-01-01,2025-01-30,56.9965,55.99547,700,-842.7405216999978,-0.021095189589440264,21,trail_stop,False
600025,2025-01-01,2025-02-12,184.0512,214.30461,200,5904.248567399998,0.16018865971772162,30,trail_stop,True
600519,2025-01-02,2025-02-13,318.4728,333.0512,100,1339.8367600000056,0.042016060197176346,30,max_hold,True
601328,2025-02-25,2025-03-25,228.9096,252.88715,100,2309.832707499998,0.10077488333951085,20,trail_stop,True
600016,2025-02-25,2025-03-25,228.9096,252.88715,100,2309.832707499998,0.10077488333951085,20,trail_stop,True
600887,2025-04-15,2025-05-27,1506.8207,2021.8956,100,50846.56732099998,0.3370046124440457,30,max_hold,True
601601,2025-06-17,2025-06-24,1191.7871,1166.6605,100,-2935.924238000007,-0.024602653374589455,5,trail_stop,False
600030,2025-06-26,2025-07-10,437.6137,435.38357499999995,100,-380.0405032500057,-0.008673108086661049,10,trail_stop,False
600009,2025-07-24,2025-08-01,1001.3962,999.3847049999999,100,-561.1894881500048,-0.0055967946452594106,6,trail_stop,False
600011,2025-08-18,2025-09-11,1551.6633,1557.11536,100,-14.646761799987871,-9.427139077490697e-05,18,trail_stop,False
600900,2025-10-14,2025-11-04,627.8403,669.28526,100,3908.941151199986,0.06217928548449626,15,trail_stop,True
